# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	48101
#@/user_id	2e78a248-4bb3-4f88-87b4-60fa7da6ab99
a 	啊	c=4 d=1.03765e-17 t=48101
bu shang 	不上	c=4 d=3.93838e-08 t=48101
bu shang 	補上	c=4 d=1.65801e-66 t=48101
bu shao 	不少	c=2 d=1.37348e-57 t=48101
bu she de 	不捨得	c=1 d=2.95623e-46 t=48101
bu she ji 	不涉及	c=1 d=2.8596e-08 t=48101
bu sheng xiao 	不生效	c=5 d=0.209088 t=48101
bu shi 	不失	c=0 d=1.44538e-70 t=48101
bu shi 	不是	c=75 d=0.0223854 t=48101
bu shi jiao 	不失焦	c=1 d=1.45262e-69 t=48101
bu shi yong 	不使用	c=1 d=3.20561e-87 t=48101
bu shi zhen 	不失真	c=1 d=5.01101e-78 t=48101
bu shou fei 	不收費	c=4 d=3.63588e-10 t=48101
bu shu 	部署	c=15 d=9.12658e-14 t=48101
bu shu yu 	不屬於	c=4 d=0.00357068 t=48101
bu shuo 	不說	c=1 d=2.66891e-49 t=48101
bu shuo le 	不說了	c=1 d=3.65523e-43 t=48101
bu suan 	不算	c=1 d=2.10008e-82 t=48101
bu tai 	不太	c=8 d=1.43753e-06 t=48101
bu tai dong 	不太懂	c=2 d=6.30491e-45 t=48101
bu tai duo 	不太多	c=2 d=1.27211e-08 t=48101
bu tai hao 	不太好	c=4 d=5.7872e-37 t=48101
bu tai hui 	不太會	c=1 d=1.96932e-61 t=48101
bu tai shu 	不太熟	c=2 d=4.19223e-38 t=48101
bu tai wen 	不太穩	c=1 d=1 t=45872
bu tai xian shi 	不太現實	c=1 d=7.39109e-62 t=48101
bu ti le 	不提了	c=1 d=6.8666e-49 t=48101
bu tian 	不填	c=1 d=1.06379e-51 t=48101
bu ting 	不停	c=1 d=3.58579e-82 t=48101
bu tong 	不同	c=11 d=1.23944e-06 t=48101
bu tong 	不痛	c=1 d=1.55933e-50 t=48101
bu tong bu yang 	不痛不癢	c=3 d=2.19885e-57 t=48101
bu tong guo 	不通過	c=4 d=1.13338 t=42952
bu tui 	不退	c=2 d=3.6164e-35 t=48101
bu tui jian 	不推薦	c=4 d=9.71104e-34 t=48101
bu tui kuan 	不退款	c=1 d=5.09573e-40 t=48101
bu wang 	不忘	c=1 d=1.54276e-42 t=48101
bu wen 	不問	c=3 d=4.99637e-73 t=48101
bu wen ding 	不穩定	c=3 d=1.13237e-08 t=48101
bu xi 	補習	c=2 d=4.53502e-05 t=48101
bu xi ban 	補習班	c=2 d=0.000141582 t=48101
bu xi guan 	不習慣	c=1 d=2.4426e-36 t=48101
bu xi huan 	不喜歡	c=1 d=0.000188766 t=48101
bu xian shi 	不顯示	c=4 d=0.960789 t=48101
bu xiang kan 	不想看	c=1 d=2.23268e-67 t=48101
bu xiao 	不小	c=2 d=9.68842e-86 t=48101
bu xiao xin 	不小心	c=3 d=0.00124951 t=48101
bu xie 	不謝	c=2 d=8.32662e-23 t=48101
bu xin ku 	不辛苦	c=1 d=1.01906e-75 t=48101
bu xing 	不行	c=23 d=3.44963e-09 t=48101
bu xing ha 	不行哈	c=1 d=7.72628e-25 t=48101
bu xing ya 	不行呀	c=1 d=5.6597e-69 t=48101
bu xu yao 	不需要	c=19 d=6.61782e-07 t=48101
bu xun huan 	不循環	c=1 d=1.60709e-52 t=48101
bu yao 	不要	c=29 d=0.49182 t=48101
bu yao qiu 	不要求	c=1 d=2.54402e-44 t=48101
bu yao qu 	不要去	c=2 d=4.49055e-68 t=48101
bu yao shuo 	不要說	c=1 d=1.22066e-81 t=48101
bu ye 	不也	c=1 d=2.22275e-44 t=48101
bu yi 	不宜	c=1 d=7.36449e-49 t=48101
bu yi ding 	不一定	c=10 d=1.46682e-07 t=48101
bu yi er fei 	不翼而飛	c=1 d=1 t=45066
bu yi yang 	不一樣	c=6 d=2.54713e-29 t=48101
bu yi zhi 	不一致	c=1 d=4.94918e-79 t=48101
bu ying gai 	不應該	c=1 d=1.34697e-63 t=48101
bu ying xiang 	不影響	c=4 d=0.0204453 t=48101
bu yong 	不用	c=44 d=0.000135281 t=48101
bu yong le 	不用了	c=1 d=3.82282e-41 t=48101
bu yun xu 	不允許	c=3 d=1.81873 t=46350
bu zai 	不再	c=1 d=1 t=48068
bu zai 	不在	c=3 d=4.0587e-31 t=48101
bu zai yi 	不在意	c=1 d=9.19607e-15 t=48101
bu zhao ji 	不着急	c=6 d=9.58374e-22 t=48101
bu zhe bu kou 	不折不扣	c=4 d=9.2011e-72 t=48101
bu zhi 	不止	c=4 d=0.00249118 t=48101
bu zhi chi 	不支持	c=7 d=1.79158e-07 t=48101
bu zhi dao 	不知道	c=56 d=0.287941 t=48101
bu zhi shi 	不只是	c=2 d=1.37845e-70 t=48101
bu zhong yao 	不重要	c=1 d=1.3697e-54 t=48101
bu zhou 	步驟	c=71 d=0.729218 t=48101
bu zhou er 	步驟二	c=7 d=0.0374406 t=48101
bu zhou liu 	步驟六	c=1 d=1 t=43531
bu zhou san 	步驟三	c=6 d=0.112712 t=48101
bu zhou si 	步驟四	c=1 d=1.99541e-10 t=48101
bu zhou wu 	步驟五	c=10 d=4.41652 t=44134
bu zhou yi 	步驟一	c=18 d=0.0805367 t=48101
bu zhun que 	不準確	c=1 d=4.75269e-73 t=48101
bu zou 	不走	c=0 d=9.90491e-66 t=48101
bu zou xin 	不走心	c=1 d=9.95456e-65 t=48101
bu zu 	不足	c=2 d=0.000382034 t=48101
bu zu wei qi 	不足爲奇	c=1 d=2.21694e-72 t=48101
bu zuo wei 	不作爲	c=5 d=3.14208e-57 t=48101
ca liang 	擦亮	c=5 d=4.30668e-66 t=48101
cai 	才	c=25 d=0.00187872 t=48101
cai 	菜	c=2 d=3.41519e-38 t=48101
cai 	財	c=0 d=0.1 t=43732
cai chan sun shi 	財產損失	c=1 d=2.46112e-66 t=48101
cai dan 	彩蛋	c=1 d=6.12483e-57 t=48101
cai dan 	菜單	c=8 d=4.9804e-06 t=48101
cai dan lan 	菜單欄	c=8 d=4.3957e-51 t=48101
cai de 	猜的	c=1 d=3.30964e-51 t=48101
cai dui 	纔對	c=1 d=2.72801e-42 t=48101
cai guai 	纔怪	c=1 d=1.49712e-71 t=48101
cai hong 	彩虹	c=5 d=1.24692 t=48101
cai ji 	採集	c=2 d=3.43513e-60 t=48101
cai jian 	裁剪	c=2 d=0.0773047 t=48101
cai jing 	財經	c=8 d=2.7472e-55 t=48101
cai jing da xue 	財經大學	c=1 d=2.80041e-56 t=48101
cai ke 	纔可	c=2 d=0.194952 t=48101
cai ke yi 	纔可以	c=4 d=0.0428521 t=48101
cai liao 	材料	c=1 d=1 t=40825
cai neng 	才能	c=17 d=7.82971e-05 t=48101
cai niao 	菜鳥	c=1 d=3.69963e-38 t=48101
cai piao 	彩票	c=2 d=1.42443e-07 t=48101
cai pu tao 	採葡萄	c=1 d=6.763e-76 t=48101
cai shi 	纔是	c=2 d=8.41398e-50 t=48101
cai shui ju 	財稅局	c=1 d=1.65631e-54 t=48101
cai suan 	纔算	c=1 d=1 t=41483
cai wu zi you 	財務自由	c=4 d=7.97378e-43 t=48101
cai xiang 	猜想	c=2 d=1.45222e-07 t=48101
cai xin 	財新	c=1 d=1 t=43768
cai xin chuan mei 	財新傳媒	c=1 d=1 t=43733
cai xing 	才行	c=9 d=1.1308e-05 t=48101
cai yi 	才藝	c=1 d=1.96792e-82 t=48101
cai yin 	彩印	c=2 d=2.65325e-68 t=48101
cai yong 	採用	c=3 d=4.19237e-09 t=48101
cai you 	菜油	c=2 d=2.37962e-44 t=48101
cai you yong 	才有用	c=1 d=1.55155e-50 t=48101
cai yuan 	裁員	c=2 d=2.10087e-57 t=48101
cai yuan zi 	菜園子	c=1 d=3.85586e-54 t=48101
cai zheng da chen 	財政大臣	c=1 d=5.16098e-72 t=48101
cai zhi dao 	才知道	c=1 d=2.49874e-68 t=48101
can bu ren du 	慘不忍睹	c=1 d=2.43282e-77 t=48101
can ji 	殘疾	c=1 d=0.00137404 t=48101
can jia 	參加	c=5 d=0.000221777 t=48101
can kao 	參考	c=61 d=1.59099 t=48101
can mou 	參謀	c=1 d=3.5725e-09 t=48101
can shu 	參數	c=11 d=0.44404 t=48101
can ting 	餐廳	c=1 d=2.6822e-78 t=48101
can yu 	參與	c=3 d=1.68833e-43 t=48101
can zhong 	慘重	c=3 d=8.20657e-58 t=48101
can zhuo 	餐桌	c=2 d=1.15157e-63 t=48101
cang ku 	倉庫	c=13 d=0.806541 t=48101
cao chang 	操場	c=2 d=7.92402e-78 t=48101
cao gao 	草稿	c=4 d=8.90551e-12 t=48101
cao kong 	操控	c=3 d=3.67532e-12 t=48101
cao lv chong 	草履蟲	c=1 d=5.34845e-80 t=48101
cao zuo 	操作	c=74 d=0.290578 t=48101
cao zuo zhe 	操作者	c=2 d=1.23108 t=45933
ce lve 	策略	c=1 d=1.00948e-82 t=48101
ce shi 	測試	c=16 d=4.69037e-06 t=48101
ce shi ban 	測試版	c=6 d=1.71303e-09 t=48101
ce suo 	廁所	c=2 d=6.20556e-64 t=48101
ce zhi 	廁紙	c=1 d=5.25254e-73 t=48101
ceng 	層	c=1 d=9.04779e-59 t=48101
ceng ji 	層級	c=1 d=1.73132e-75 t=48101
ceng wei 	曾爲	c=1 d=1.49788e-77 t=48101
cha 	差	c=5 d=0.557106 t=48101
cha 	查	c=4 d=1.82305e-06 t=48101
cha 	茶	c=1 d=7.45371e-73 t=48101
cha bu duo 	差不多	c=8 d=9.37706e-09 t=48101
cha cao 	插槽	c=3 d=7.10491e-68 t=48101
cha cha 	查查	c=0 d=0.0644036 t=48101
cha de duo 	差得多	c=1 d=9.1655e-64 t=48101
cha dian 	差點	c=1 d=4.68368e-48 t=48101
cha feng 	查封	c=4 d=6.37994e-57 t=48101
cha ji 	茶几	c=1 d=1 t=46368
cha jian 	插件	c=64 d=2.08868 t=48101
cha jin 	差勁	c=2 d=1.18535e-60 t=48101
cha kan 	查看	c=66 d=1.37213 t=48101
cha ping 	差評	c=8 d=1.34103e-11 t=48101
cha ru 	插入	c=3 d=5.82947e-05 t=48101
cha xun 	查詢	c=16 d=5.60246e-05 t=48101
cha zhao 	查找	c=6 d=1.4059e-08 t=48101
cha zhi 	差值	c=2 d=1.99501 t=47933
chai chuan 	拆穿	c=1 d=4.57504e-66 t=48101
chai fen 	拆分	c=4 d=4.61965e-18 t=48101
chan chu 	產出	c=1 d=1.90204e-05 t=48101
chan di 	產地	c=1 d=7.26102e-59 t=48101
chan pin 	產品	c=15 d=0.000156885 t=48101
chan ye 	產業	c=1 d=8.28327e-43 t=48101
chang 	場	c=4 d=3.82453e-78 t=48101
chang 	常	c=1 d=9.01244e-13 t=48101
chang 	廠	c=2 d=1.73025e-09 t=48101
chang 	長	c=7 d=0.403798 t=48101
chang an 	長按	c=3 d=3.4129e-22 t=48101
chang chang 	常常	c=1 d=2.27159e-35 t=48101
chang chang 	長長	c=3 d=5.51214e-17 t=48101
chang cheng 	長城	c=2 d=0.000263884 t=48101
chang di 	場地	c=1 d=6.97631e-59 t=48101
chang du 	長度	c=3 d=0.00854651 t=48101
chang ge 	唱歌	c=1 d=3.13189e-78 t=48101
chang gong 	唱功	c=0 d=3.13146e-48 t=48101
chang gong ye neng gou 	唱功也能夠	c=1 d=3.14716e-47 t=48101
chang gui 	常規	c=1 d=2.34204e-12 t=48101
chang jia 	長假	c=1 d=6.76437e-49 t=48101
chang jian 	常見	c=9 d=0.285076 t=48101
chang jie ping 	長截屏	c=1 d=1 t=41351
chang jie tu 	長截圖	c=1 d=1 t=47581
chang jing 	場景	c=5 d=3.63526e-08 t=48101
chang jue 	猖獗	c=1 d=4.12464e-82 t=48101
chang ku 	長褲	c=1 d=1 t=46325
chang kuan 	長寬	c=1 d=2.61606e-49 t=48101
chang lian 	長鏈	c=1 d=1 t=47314
chang lian jie 	長鏈接	c=25 d=3.01202 t=47843
chang shi 	嘗試	c=9 d=0.0084214 t=48101
chang shi jian 	長時間	c=1 d=1 t=46751
chang tai 	常態	c=1 d=7.91327e-71 t=48101
chang tu 	長圖	c=2 d=0.0119145 t=48101
chang yan 	腸炎	c=1 d=4.34585e-79 t=48101
chang yong 	常用	c=16 d=1.72894e-09 t=48101
chang yuan 	長遠	c=1 d=1.7558e-05 t=48101
chao 	潮	c=1 d=0.018043 t=48101
chao 	超	c=2 d=0.00124328 t=48101
chao ge 	超哥	c=1 d=5.93452e-68 t=48101
chao guo 	超過	c=1 d=1.38347e-54 t=48101
chao ji 	超級	c=3 d=4.03936e-05 t=48101
chao shi 	超時	c=2 d=3.71355e-82 t=48101
chao zuo 	炒作	c=1 d=1.26905e-09 t=48101
che 	車	c=4 d=1.42589e-28 t=48101
che di 	徹底	c=2 d=0.219808 t=48101
che gong gong 	車公共	c=1 d=1.43304e-27 t=48101
che hui 	撤回	c=2 d=0.00234645 t=48101
che xiao 	撤銷	c=5 d=0.215456 t=48101
che zi 	車子	c=1 d=1.57446e-46 t=48101
chen 	陳	c=1 d=1.36213e-77 t=48101
chen jiu 	陳舊	c=0 d=1.27247e-71 t=48101
chen men 	沉悶	c=1 d=4.35576e-47 t=48101
chen yi xun 	陳奕迅	c=1 d=6.09408e-86 t=48101
chen zao 	趁早	c=1 d=1.12704e-54 t=48101
cheng 	城	c=1 d=1.4859e-12 t=48101
cheng 	成	c=8 d=3.04583e-06 t=48101
cheng 	程	c=1 d=6.51707e-52 t=48101
cheng ben 	成本	c=3 d=1.51175e-09 t=48101
cheng bu zhu 	撐不住	c=1 d=3.04088e-84 t=48101
cheng gong 	成功	c=110 d=1.86481 t=48101
cheng gong gan 	成功感	c=1 d=3.75734e-73 t=48101
cheng gong hou 	成功後	c=1 d=1 t=45160
cheng gong le 	成功了	c=3 d=1.97214e-19 t=48101
cheng gong lv 	成功率	c=2 d=0.29523 t=48101
cheng guan 	城關	c=1 d=7.45117e-69 t=48101
cheng ji 	成績	c=1 d=3.69849e-05 t=48101
cheng li 	城裏	c=1 d=1.29574e-48 t=48101
cheng li 	成立	c=1 d=4.49223e-57 t=48101
cheng nuo 	承諾	c=2 d=6.90389e-72 t=48101
cheng ren 	承認	c=1 d=1.7439e-72 t=48101
cheng wei 	成爲	c=1 d=2.6016e-72 t=48101
cheng wei 	稱爲	c=1 d=7.01606e-67 t=48101
cheng wu 	成武	c=0 d=1.45065e-54 t=48101
cheng wu ge 	成武哥	c=1 d=1.45792e-53 t=48101
cheng xian 	呈現	c=0 d=4.08164e-48 t=48101
cheng xian liu dian ban 	呈現六點半	c=1 d=4.1021e-47 t=48101
cheng xu 	程序	c=4 d=1.16885e-12 t=48101
cheng xu wu 	程序塢	c=6 d=1.16022e-13 t=48101
cheng xu yuan 	程序員	c=1 d=5.94299e-26 t=48101
cheng xu yuan 	程序媛	c=7 d=0.219949 t=48101
chi 	吃	c=15 d=0.0015648 t=48101
chi 	池	c=1 d=1.09813e-13 t=48101
chi 	遲	c=1 d=3.95091e-17 t=48101
chi cun 	尺寸	c=2 d=4.40957e-15 t=48101
chi de 	吃得	c=2 d=7.15477e-34 t=48101
chi de xiao 	吃得消	c=1 d=1 t=43548
chi dian 	吃點	c=3 d=3.5849e-46 t=48101
chi duo le 	吃多了	c=2 d=1.0147e-49 t=48101
chi fa 	遲發	c=1 d=4.61145e-71 t=48101
chi fan 	喫飯	c=3 d=4.43454e-52 t=48101
chi ge fan 	吃個飯	c=1 d=9.54929e-76 t=48101
chi ji 	吃雞	c=1 d=1.02173e-47 t=48101
chi jin 	吃緊	c=2 d=1.85401e-57 t=48101
chi jiu 	持久	c=1 d=1.67074e-09 t=48101
chi le 	吃了	c=1 d=3.66531e-46 t=48101
chi le mei 	吃了沒	c=1 d=2.13705e-52 t=48101
chi li 	吃力	c=1 d=7.94804e-05 t=48101
chi lun 	齒輪	c=1 d=1 t=42106
chi ma 	尺碼	c=2 d=4.93924e-74 t=48101
chi wan 	吃完	c=1 d=8.68711e-51 t=48101
chi yao 	吃藥	c=1 d=4.15476e-50 t=48101
chi zao 	遲早	c=1 d=3.18583e-73 t=48101
chi zu 	赤足	c=1 d=1.67695e-82 t=48101
chong 	充	c=1 d=1 t=43373
chong 	蟲	c=1 d=1.06531e-09 t=48101
chong 	衝	c=3 d=1.67005e-43 t=48101
chong 	重	c=1 d=0.000561443 t=48101
chong dian 	充電	c=3 d=5.33374e-40 t=48101
chong dian 	重點	c=1 d=5.83523e-46 t=48101
chong ding xiang 	重定向	c=8 d=1.80456 t=48101
chong fu 	重複	c=27 d=0.285963 t=48101
chong fu le 	重複了	c=1 d=1.71263e-65 t=48101
chong fu yan zheng 	重複驗證	c=1 d=2.13712e-23 t=48101
chong gou 	重構	c=1 d=1.86108e-43 t=48101
chong hui 	重回	c=1 d=1 t=44040
chong ji 	衝擊	c=1 d=1.36083e-07 t=48101
chong ming ming 	重命名	c=8 d=2.68009e-10 t=48101
chong qi 	重啓	c=21 d=2.14951 t=48101
chong qing 	重慶	c=3 d=9.12814e-16 t=48101
chong qing da xue 	重慶大學	c=1 d=7.35048e-56 t=48101
chong shi 	重試	c=23 d=0.0252127 t=48101
chong ti 	重提	c=0 d=1.93374e-24 t=48101
chong ti nve 	重提虐	c=1 d=1.94344e-23 t=48101
chong tou 	重頭	c=11 d=0.120463 t=48101
chong tu 	衝突	c=7 d=4.5616e-38 t=48101
chong wen men 	崇文門	c=1 d=1 t=45201
chong wu 	寵物	c=2 d=9.03116e-08 t=48101
chong xie 	重寫	c=1 d=1.89636e-58 t=48101
chong xin 	重新	c=70 d=0.985112 t=48101
chong yao 	重要	c=1 d=9.44493e-35 t=48101
chong yu 	充裕	c=1 d=6.18994e-05 t=48101
chong zai 	重載	c=1 d=9.45477e-48 t=48101
chong zhi 	充值	c=8 d=4.09874e-08 t=48101
chong zhi 	重置	c=17 d=0.182684 t=48101
chong zhuang 	重裝	c=4 d=0.00047367 t=48101
chong zou 	重走	c=1 d=1.28289e-19 t=48101
chong zu 	充足	c=1 d=1.07723e-81 t=48101
chou 	抽	c=1 d=1.29398e-32 t=48101
chou cha 	抽查	c=1 d=1 t=42435
chou dao 	抽到	c=2 d=1.86882e-33 t=48101
chou jiang 	抽獎	c=2 d=1.99501 t=46515
chou kong 	抽空	c=1 d=3.60277e-20 t=48101
chou qi 	抽泣	c=1 d=1.79554e-33 t=48101
chou qu 	抽取	c=5 d=2.82185e-28 t=48101
chou zhong 	抽中	c=6 d=2.13639e-19 t=48101
chu 	出	c=12 d=0.15569 t=48101
chu 	處	c=1 d=1.59381e-72 t=48101
chu 	除	c=1 d=7.46284e-58 t=48101
chu chang she zhi 	出廠設置	c=1 d=1 t=43230
chu ci 	初次	c=3 d=0.00131358 t=48101
chu cuo 	出錯	c=3 d=2.26734e-13 t=48101
chu cuo le 	出錯了	c=1 d=1 t=43102
chu fa 	出發	c=2 d=6.94918e-42 t=48101
chu fa 	觸發	c=0 d=0.1 t=43255
chu fa 	除法	c=1 d=1 t=47957
chu fa jiao 	觸發角	c=1 d=1 t=43256
chu fan 	觸犯	c=2 d=6.51977e-08 t=48101
chu fang 	廚房	c=1 d=1.88165e-84 t=48101
chu fei 	除非	c=1 d=6.88694e-25 t=48101
chu gao zhong 	初高中	c=1 d=0.000199439 t=48101
chu guo 	出國	c=9 d=0.000800347 t=48101
chu guo lv 	出國率	c=1 d=0.000495472 t=48101
chu ji 	觸及	c=1 d=9.9569e-09 t=48101
chu kong ban 	觸控板	c=1 d=1.74539e-82 t=48101
chu lai 	出來	c=32 d=0.100098 t=48101
chu lai le 	出來了	c=1 d=1 t=45762
chu lai zha dao 	初來乍到	c=1 d=1.63449e-45 t=48101
chu le 	出了	c=9 d=2.76077e-06 t=48101
chu le 	除了	c=4 d=7.56041e-05 t=48101
chu li 	處理	c=17 d=0.00093889 t=48101
chu li le 	處理了	c=1 d=6.26346e-85 t=48101
chu li qi 	處理器	c=2 d=2.37228e-67 t=48101
chu lu 	出路	c=1 d=7.82388e-55 t=48101
chu men 	出門	c=1 d=3.41984e-54 t=48101
chu mo 	觸摸	c=2 d=6.69614e-69 t=48101
chu pin 	出品	c=2 d=1.03021e-56 t=48101
chu qu 	出去	c=4 d=1.70472e-40 t=48101
chu qu chi 	出去吃	c=1 d=2.69702e-84 t=48101
chu rang 	出讓	c=1 d=1.90418e-77 t=48101
chu ru 	出入	c=1 d=1.74153e-56 t=48101
chu sheng 	出生	c=2 d=5.45279e-72 t=48101
chu shi hua 	初始化	c=13 d=2.11127 t=48101
chu shi zhi 	初始值	c=1 d=1 t=46169
chu shou 	出售	c=3 d=1.86936 t=46344
chu tou 	出頭	c=1 d=2.49203e-08 t=48101
chu tou le 	出頭了	c=1 d=1 t=45061
chu wen ti 	出問題	c=1 d=6.1482e-43 t=48101
chu xian 	出現	c=42 d=0.512303 t=48101
chu xin 	初心	c=1 d=2.6528e-66 t=48101
chu xing 	出行	c=1 d=1.37966e-51 t=48101
chu xue zhe 	初學者	c=2 d=0.904837 t=48101
chu yu 	處於	c=1 d=3.8057e-47 t=48101
chu zhong 	初中	c=1 d=0.000237581 t=48101
chu zu wu 	出租屋	c=1 d=3.44119e-39 t=48101
chuan 	傳	c=2 d=1.92774 t=44359
chuan 	川	c=1 d=7.20248e-52 t=48101
chuan 	穿	c=1 d=2.36623e-74 t=48101
chuan di 	傳遞	c=1 d=9.77573e-87 t=48101
chuan dian 	穿點	c=1 d=2.45819e-52 t=48101
chuan guo 	穿過	c=1 d=1.18032e-68 t=48101
chuan le 	串了	c=1 d=9.01062e-40 t=48101
chuan le 	穿了	c=0 d=9.42987e-76 t=48101
chuan le ma 	穿了嗎	c=1 d=9.47713e-75 t=48101
chuan mei 	傳媒	c=2 d=2.07025 t=43732
chuan shu 	傳輸	c=30 d=0.000217133 t=48101
chuan shu zhu shou 	傳輸助手	c=1 d=3.55034e-24 t=48101
chuan suo 	穿梭	c=1 d=1 t=45633
chuan tou 	穿透	c=5 d=6.3488e-60 t=48101
chuan xiao 	傳銷	c=1 d=1.55023e-40 t=48101
chuan zhe 	穿着	c=1 d=0.0566989 t=48101
chuang 	牀	c=1 d=5.74035e-59 t=48101
chuang jian 	創建	c=5 d=0.000796726 t=48101
chuang kou 	窗口	c=8 d=3.78407 t=48101
chuang li 	創立	c=1 d=4.24953e-80 t=48101
chuang shi ren 	創始人	c=8 d=2.96091e-62 t=48101
chuang ye 	創業	c=2 d=0.000119165 t=48101
chuang zuo 	創作	c=2 d=1.86203e-49 t=48101
chui 	吹	c=1 d=1.94364e-83 t=48101
chui guan 	吹管	c=1 d=1.9147e-83 t=48101
chui jian 	吹箭	c=1 d=1.95338e-83 t=48101
chun 	春	c=1 d=1.37017e-58 t=48101
chun cui 	純粹	c=3 d=0.000804733 t=48101
chun shu 	純屬	c=1 d=1.69732e-77 t=48101
chun zhao 	春招	c=3 d=2.61517e-45 t=48101
chuo xue 	輟學	c=1 d=0.000239969 t=48101
ci 	次	c=6 d=4.71538e-08 t=48101
ci 	此	c=6 d=0.33743 t=48101
ci 	詞	c=0 d=1.87436e-10 t=48101
ci 	辭	c=1 d=1.88979e-76 t=48101
ci hui 	詞彙	c=2 d=5.55951e-06 t=48101
ci hui liang 	詞彙量	c=1 d=6.23707e-06 t=48101
ci ji 	刺激	c=2 d=1.16038e-44 t=48101
ci ku 	詞庫	c=6 d=1.11942e-37 t=48101
ci pan 	磁盤	c=7 d=0.941765 t=48101
ci shi 	此時	c=1 d=2.31267e-40 t=48101
ci shu 	次數	c=1 d=1.34167e-46 t=48101
ci tie 	磁鐵	c=1 d=1.59029e-46 t=48101
ci tong 	刺桐	c=0 d=1.27619e-76 t=48101
ci tong 	刺痛	c=0 d=1.26983e-76 t=48101
ci tong hong 	刺桐紅	c=1 d=1.28259e-75 t=48101
ci tong hong 	刺痛紅	c=1 d=1.27619e-75 t=48101
ci wai 	此外	c=8 d=2.52279e-05 t=48101
cong 	從	c=85 d=0.293329 t=48101
cong lai 	從來	c=1 d=1.30042e-61 t=48101
cong lai mei 	從來沒	c=1 d=1.37395e-61 t=48101
cong ling kai shi 	從零開始	c=1 d=1.70676e-54 t=48101
cong ming 	聰明	c=1 d=2.25365e-30 t=48101
cong ni 	從你	c=1 d=8.80611e-64 t=48101
cong shang dao xia 	從上到下	c=1 d=5.71756e-71 t=48101
cong shi 	從事	c=3 d=0.000290014 t=48101
cong wei 	從未	c=1 d=1 t=42767
cookie 	cookie	c=1 d=9.59778e-18 t=48101
cou he 	湊合	c=1 d=1.46393e-72 t=48101
cu liang 	粗糧	c=1 d=1.32102e-40 t=48101
cu xiao 	促銷	c=1 d=1 t=46523
cui 	催	c=1 d=1.57473e-48 t=48101
cui 	脆	c=2 d=1.01648e-45 t=48101
cui hong 	催紅	c=1 d=1.43334e-83 t=48101
cui hong su 	催紅素	c=1 d=1.37653e-83 t=48101
cui qing 	催情	c=0 d=0.1 t=46374
cui qing lei 	催情類	c=1 d=1 t=46375
cun 	村	c=0 d=4.12547e-56 t=48101
cun chu 	存儲	c=11 d=4.02798e-09 t=48101
cun huo 	存活	c=1 d=4.49836e-73 t=48101
cun huo 	存貨	c=3 d=1.00272e-61 t=48101
cun kuan 	存款	c=1 d=5.40917e-07 t=48101
cun le 	存了	c=1 d=1.9277e-45 t=48101
cun zai 	存在	c=1 d=2.49314e-71 t=48101
cuo 	搓	c=4 d=9.86958e-23 t=48101
cuo 	錯	c=12 d=0.0327151 t=48101
cuo de 	錯的	c=1 d=5.21124e-39 t=48101
cuo guo 	錯過	c=1 d=8.96749e-13 t=48101
cuo le 	錯了	c=5 d=2.4916e-05 t=48101
cuo wu 	錯誤	c=10 d=0.0337087 t=48101
cuo wu lei mu 	錯誤類目	c=1 d=1 t=41698
da 	大	c=23 d=0.000278817 t=48101
da 	打	c=6 d=3.4641e-08 t=48101
da 	答	c=3 d=1.01894 t=47786
da an 	答案	c=5 d=0.00341356 t=48101
da bao 	打包	c=2 d=1.53032e-86 t=48101
da bao jian 	大保健	c=4 d=1.08402e-08 t=48101
da bao liao 	大爆料	c=1 d=3.28911e-66 t=48101
da bing 	大餅	c=1 d=1.72976e-72 t=48101
da bu kai 	打不開	c=5 d=3.48726e-19 t=48101
da chan ye 	大產業	c=1 d=7.77691e-43 t=48101
da chu lai 	答出來	c=1 d=2.22305e-75 t=48101
da chu xie 	大出血	c=1 d=4.04748e-07 t=48101
da dao 	大道	c=2 d=3.41452e-78 t=48101
da dao 	達到	c=4 d=0.00362464 t=48101
da de 	打的	c=1 d=1.86292e-84 t=48101
da dian hua 	打電話	c=2 d=2.05787e-49 t=48101
da duo shu 	大多數	c=2 d=3.02807e-05 t=48101
da fa 	打發	c=2 d=3.03849e-16 t=48101
da fa shi 	大法師	c=2 d=5.48998e-05 t=48101
da fei suo wen 	答非所問	c=1 d=1.27247e-70 t=48101
da gai 	大概	c=19 d=0.00271219 t=48101
da gang 	大綱	c=1 d=2.04656e-43 t=48101
da ge 	大哥	c=7 d=3.48571e-06 t=48101
da gong si 	大公司	c=3 d=8.89023e-54 t=48101
da guang gao 	打廣告	c=1 d=1.86648e-77 t=48101
da guo zhe 	打過折	c=1 d=1.46418e-74 t=48101
da hao 	大號	c=1 d=1.08902e-62 t=48101
da hong deng long 	大紅燈籠	c=1 d=1.13875e-58 t=48101
da hu you 	大忽悠	c=1 d=2.94449e-58 t=48101
da huang 	大黃	c=1 d=5.27062e-84 t=48101
da ji da li 	大吉大利	c=1 d=1 t=43969
da jia 	大家	c=17 d=8.9167e-05 t=48101
da jian 	搭建	c=6 d=1.74396e-43 t=48101
da jian cha 	大檢查	c=1 d=1 t=42308
da jie 	大街	c=1 d=1 t=45203
da ka 	打卡	c=5 d=2.67073e-57 t=48101
